INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,New Georeferenced Column,ZipCode
221424825,12/05/2020,01:34:00,BROOKLYN,73,0,,False,25-44,M,BLACK,25-44,F,BLACK,1009085,248078,40.8475651890001,-73.9102364949999,POINT (-73.91023649499994 40.84756518900008),10453
217257027,08/31/2020,00:25:00,BROOKLYN,73,0,,False,,,,25-44,M,BLACK,1001749,188772,40.684803219,-73.936906505,POINT (-73.93690650499997 40.68480321900005),11221
208549424,01/26/2020,17:30:00,MANHATTAN,32,2,MULTI DWELL - PUBLIC HOUS,False,25-44,F,BLACK,45-64,M,BLACK,1013734,254081,40.8640273240001,-73.893406511,POINT (-73.89340651099997 40.86402732400006),10458
219054780,10/09/2020,21:30:00,QUEENS,103,0,,False,,,,25-44,M,BLACK,961833,166710,40.6242367720001,-74.0807555329999,POINT (-74.08075553299993 40.62423677200008),10304
220863880,11/22/2020,13:19:00,BROOKLYN,75,0,,False,18-24,M,BLACK,25-44,M,WHITE HISPANIC,995708,176233,40.6503963340001,-73.958709429,POINT (-73.95870942899995 40.65039633400005),11226
221105582,11/29/2020,15:00:00,BROOKLYN,70,0,,False,,,,<18,M,BLACK,960126,172813,40.6409837250001,-74.086926573,POINT (-74.08692657299997 40.64098372500007),10301
214874082,07/02/2020,18:41:00,BROOKLYN,73,0,,True,25-44,M,BLACK,25-44,F,BLACK,1037375,195016,40.7017993910001,-73.808403321,POINT (-73.80840332099996 40.70179939100007),11435
209640802,02/14/2020,18:36:00,BRONX,40,0,GROCERY/BODEGA,True,25-44,M,BLACK HISPANIC,25-44,M,WHITE,994431,176337,40.6506833520001,-73.9633112879999,POINT (-73.96331128799993 40.650683352000044),11226
213724258,05/30/2020,23:27:00,MANHATTAN,33,0,,False,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1018156,187617,40.6815853680001,-73.877754785,POINT (-73.87775478499998 40.68158536800007),11208
216927391,08/22/2020,00:31:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,False,,,,25-44,M,BLACK,998829,226859,40.7893478930001,-73.947352413,POINT (-73.94735241299998 40.78934789300007),10029
218788647,10/06/2020,00:10:00,BRONX,45,0,,False,,,,18-24,M,BLACK,1021910,182503,40.6675334270001,-73.86424849,POINT (-73.86424848999997 40.66753342700008),11208
216651450,08/15/2020,22:00:00,BROOKLYN,75,0,MULTI DWELL - APT BUILD,False,,,,25-44,M,BLACK,997487,188671,40.6845333960001,-73.9522739,POINT (-73.95227389999997 40.68453339600006),11216
216651578,08/16/2020,03:00:00,BROOKLYN,77,0,,False,,,,25-44,M,BLACK,1007142,249097,40.850367293,-73.9172558939999,POINT (-73.91725589399994 40.85036729300003),10453
222286863,12/25/2020,23:55:00,MANHATTAN,30,0,MULTI DWELL - APT BUILD,False,25-44,M,BLACK HISPANIC,18-24,M,WHITE HISPANIC,1007937,189348,40.68636981,-73.914592848,POINT (-73.91459284799998 40.68636981000003),11207
215770232,07/25/2020,23:23:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,False,,,,25-44,M,BLACK,990325,192487,40.695015251,-73.978093883,POINT (-73.97809388299999 40.69501525100002),11205
213385782,05/21/2020,23:25:00,BROOKLYN,81,0,,False,,,,18-24,F,BLACK HISPANIC,1002260,187204,40.6804983910001,-73.935068219,POINT (-73.93506821899997 40.68049839100007),11233
222391347,12/29/2020,13:15:00,MANHATTAN,20,0,,False,25-44,M,BLACK,18-24,M,BLACK,1008878,184164,40.6721383410001,-73.911218815,POINT (-73.91121881499998 40.67213834100005),11212
208530038,01/24/2020,14:48:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,False,,,,25-44,M,BLACK,1011663,246486,40.843187992,-73.900924948,POINT (-73.90092494799995 40.84318799200002),10457
221765166,12/12/2020,16:05:00,BROOKLYN,78,2,MULTI DWELL - PUBLIC HOUS,False,,,,18-24,M,BLACK,1013526,236951,40.817011183,-73.894233277,POINT (-73.89423327699996 40.817011183000034),10459
215536327,07/20/2020,00:08:00,BRONX,47,0,,False,,,,<18,M,BLACK,1014985,237377,40.8181754780001,-73.888960266,POINT (-73.88896026599997 40.81817547800006),10474
213819785,06/03/2020,16:55:00,BRONX,41,0,,False,18-24,M,BLACK HISPANIC,25-44,M,BLACK,1010739,178539,40.656693596,-73.904532113,POINT (-73.90453211299997 40.656693596000025),11212
212063774,04/15/2020,13:15:00,QUEENS,101,0,,True,,,,25-44,M,BLACK,991262,221525,40.774716718,-73.97468463,POINT (-73.97468462999996 40.77471671800004),10023
217540935,09/07/2020,21:44:00,BRONX,40,0,,False,,,,25-44,M,WHITE HISPANIC,1008427,183518,40.67036646,-73.9128469619999,POINT (-73.91284696199995 40.670366460000025),11212
219808163,10/27/2020,22:00:00,BROOKLYN,77,2,MULTI DWELL - PUBLIC HOUS,True,,,,<18,M,BLACK,998342,182969,40.6688813720001,-73.94920302,POINT (-73.94920301999997 40.668881372000044),11225
